sport,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,label,byte_ratio,packet_ratio,load_ratio,jit_ratio,pkt_rate,ewma_score
61382,12108,114,5,0.883703,2934,3742,31,29,11,15,3,26054.00195,33250.99219,52,54,255,255,1360630701,3507006256,56,69,0,0,1418.321717,52.549531,17.32094,16.663754,0.000656,0.00052,0.000136,0,0,0.0,1.0,2,1,1,6,3,1,1,3,0,0.7838632113278119,0.9454545454545454,0.7835320603087151,26.48616506090408,56.27214056568365,3327393.914012007
22917,1158,114,5,0.331832,5486,94690,31,29,7,42,0,130885.5078,2259553.0,96,98,255,255,4178282039,4255976864,57,966,0,0,191.539223,189.026052,3.489747,3.416072,0.000593,0.00047,0.000123,0,0,0.0,0.0,0,5,1,3,3,1,1,1,0,0.05793581227360573,0.9696969696969697,0.05792537279480818,1.007962966046361,145.6640176839121,3595241.6291037174
453,47344,120,6,7e-06,264,0,60,0,0,0,2,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,31,31,31,31,31,15,31,0,264.0,2.0,150857136.0,0.0,1.9999860000979992,251036539.30293038
3705,47344,120,2,0.001122,130,162,31,29,0,0,2,463458.0938,577540.0625,2,2,0,0,0,0,65,81,0,0,0.0,0.0,0.007,0.009,0.0,0.0,0.0,0,0,0.0,0.0,1,1,3,2,2,1,1,1,0,0.7975460122699386,0.6666666666666666,0.8024677791633213,0.0,3.9955170298924605,1347891.3341145425
27477,62606,114,5,1.122783,1580,10168,31,29,3,5,5,10324.34668,68429.96875,12,18,255,255,2368581066,2369602843,132,565,1,3924,9598.660777,7727.936224,102.039817,66.014703,0.00066,0.000529,0.000131,0,0,1.0,0.0,0,1,2,9,4,1,1,1,0,0.15537417641852688,0.631578947368421,0.1508724320083515,1.2419122759991348,14.13239129953462,83953356.70701766
6416,62813,120,2,0.001552,536,304,31,29,0,0,0,2072165.0,1175257.75,4,4,0,0,0,0,134,76,0,0,0.554136,0.255973,0.395333,0.183,0.0,0.0,0.0,0,0,0.0,0.0,0,3,5,4,4,1,1,4,0,1.7573770491803278,0.8,1.7631564113009157,0.4412005672096454,7.987603239771874,46605529.97381681
54065,1202,120,2,0.004567,568,312,31,29,0,0,0,746222.875,409897.0938,4,4,0,0,0,0,142,78,0,0,1.640961,1.426942,1.167333,1.017,0.0,0.0,0.0,0,0,0.0,0.0,0,3,3,5,3,1,1,3,0,1.8146964856230032,0.8,1.8205082831248824,0.6761434760286813,7.963630101327238,60275748.893633954
453,47344,120,6,6e-06,114,0,254,0,0,0,2,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,42,42,29,29,29,15,42,1,114.0,2.0,76000000.0,0.0,1.9999880000719996,65370030.10699571
20163,62606,114,5,1.042102,1684,10168,31,29,3,5,5,12006.50293,73727.90625,14,18,255,255,930015324,931015629,120,565,1,3924,8771.170256,7680.189391,80.131156,61.272,0.000612,0.000473,0.000139,0,0,1.0,0.0,1,2,3,5,3,1,1,1,0,0.16560133739797422,0.7368421052631579,0.1628466166212794,1.1419026155346623,15.670128132678975,755202.9065553838
55709,53696,114,5,0.012679,2230,14370,31,29,7,11,0,1366038.25,8815206.0,34,36,255,255,2915949212,787717488,66,399,0,0,0.0,21.745672,0.38575,0.355824,0.000703,0.000578,0.000125,0,0,0.0,0.0,0,2,8,5,2,1,1,1,0,0.15517361352724238,0.918918918918919,0.15496383125206248,0.0,69.12358210252212,1225528.1325140665
